trial,tau,mean_correlation,upper_bound,changed_outputs,departed_transcripts
143,0.5927039531441575,-1.5612511283791264e-17,1.2938110212627625,0,0
144,0.1404758102779604,1.3877787807814457e-17,17.40281030744044,4,9
145,0.1278528932371781,0.1388888888888889,20.939377342735664,2,10
146,0.5658298062854267,1.0408340855860843e-17,1.3870452400627347,0,0
147,0.5411646027541731,-6.938893903907228e-18,1.4851249045217916,0,0
148,0.4976835723486476,-6.071532165918825e-18,1.6948574268440137,0,0
149,0.6648531042777887,2.42861286636753e-17,1.0970173527411895,0,0
150,0.589069137572533,-8.673617379884035e-18,1.3056792944861901,0,0
151,0.1427179729071545,0.03205128205128204,16.870739241336953,5,10
152,0.27439965535461613,-0.047008547008547,4.80820116135515,1,3
153,0.5995304913589362,-3.382710778154774e-17,1.2721018503408845,0,0
154,0.5752207050582604,-2.688821387764051e-17,1.352976928269158,0,0
155,0.6337072114052286,6.938893903907228e-18,1.1737558796743928,0,0
156,0.23778812637756974,-6.071532165918825e-18,6.291671523226264,0,2
157,0.0969782227959134,-0.008547008547008569,36.147248715798355,5,13
158,0.3193739144322446,0.059829059829059804,3.6370899991037957,2,3
159,0.23858380329780227,-0.002136752136752129,6.252007211252922,1,2
160,0.13059873000617273,-0.04059829059829059,20.08207462808563,4,9
161,0.13881974045552609,-0.006410256410256434,17.812463514652602,3,7
162,0.5462463911165065,0.0,1.4638261790885028,0,0
163,0.22514679769013085,0.002136752136752117,6.979341457814747,1,4
164,0.20126701744054082,0.05769230769230768,8.64952449608107,1,5
165,0.16261966670860678,0.010683760683760661,13.071066789558458,3,7
166,0.09699324595794212,-0.010683760683760684,36.13615576663406,5,10
167,0.0917849631440142,0.04700854700854701,40.31445562370741,2,10
168,0.6738822848793351,-3.382710778154774e-17,1.0767357230386512,0,0
169,0.3791338463027564,2.42861286636753e-17,2.678182798804099,0,1
170,0.44513134158617257,2.0816681711721685e-17,2.0348848051703623,0,0
171,0.42461724845239796,-2.7755575615628914e-17,2.2030955335671116,0,0
172,0.19674817947469708,1.3877787807814457e-17,9.035837211581471,1,3
173,0.3044470773207014,0.0,3.9688198274148463,0,0
174,0.09635167658857498,0.07478632478632477,36.61451493232282,5,12
175,0.19238938209516626,0.04700854700854698,9.434554838879523,5,7
176,0.28826006680261657,-1.0408340855860843e-17,4.388379244277055,0,0
177,0.4995033786388683,8.673617379884035e-18,1.6849673987911196,0,0
178,0.32297316734677617,-0.02564102564102563,3.5639037315228643,1,1
179,0.6505085484221933,3.642919299551295e-17,1.1309919338748917,0,0
180,0.5194048821863727,-2.0816681711721685e-17,1.583503556851643,0,0
181,0.6693785775028284,7.806255641895632e-18,1.0867495037035142,0,0
182,0.23769549134987572,-1.3877787807814457e-17,6.296315262443353,0,2
183,0.3060803758534156,6.938893903907228e-18,3.930142591862699,0,0
184,0.6423030584194332,-2.7755575615628914e-17,1.151457935942469,0,0
185,0.44673106699851567,2.42861286636753e-17,2.022732633661821,0,0
186,0.38563518659317475,-2.2551405187698492e-17,2.599844521241757,0,0
187,0.40586501277868875,-7.806255641895632e-18,2.3797010097652085,0,0
188,0.32590939342841235,-1.0408340855860843e-17,3.5059864459092416,0,0
189,0.6414115832709943,1.3877787807814457e-17,1.1537288641507852,0,0
190,0.35275374268093973,1.3877787807814457e-17,3.0417391635149666,0,0
191,0.35713301766185146,-3.469446951953614e-17,2.975766005784567,0,0
192,0.385560707851233,1.3877787807814457e-17,2.6007195804571004,0,0
193,0.3730959984462296,-6.938893903907228e-18,2.754634239873659,0,0
194,0.5818589493499867,8.673617379884035e-19,1.3298833475085687,0,0
195,0.6046423739702401,1.5612511283791264e-17,1.2563246752746555,0,0
196,0.1467976435284899,-0.03846153846153845,15.964420758783746,3,8
197,0.5489890917959662,-1.3877787807814457e-17,1.4525759705178993,0,0
198,0.39076902890827014,0.0,2.540727018752901,0,0
199,0.08925848879158216,-0.059829059829059825,42.60973115528552,6,13
